Site no,PCTID,PCTAssignmentCategory,ElevationInMeters,annualRainfallInMillimeters,annualMeanTemperatureInCelsius
TLRF2,3001,Primary,120.83,1774.8,18.34
BLN07B4M,3001,Primary,72.25,1752.28,18.93
BLN08B5M,3001,Primary,70.51,1733.89,19.04
BYR93B7M,3001,Primary,51.44,1760.6,19.19
BYR94B6L,3001,Primary,49.59,1759.66,19.19
BYR95B7U,3001,Primary,55.67,1762.08,19.17
DNN01B2C,3001,Primary,114.38,1665.49,18.8
DNN02B2M,3001,Primary,82.12,1671.06,18.77
DNN03B2F,3001,Primary,39.14,1656.02,18.94
DNN05B2M,3001,Primary,85.83,1665.18,18.85
DNN06B2C,3001,Primary,105.06,1665.17,18.81
DNN16B3U,3001,Primary,119.87,1725.6,18.71
DNN17B5L,3001,Primary,51.5,1607.7,19.1
DNN18B4L,3001,Primary,25.79,1595.49,19.11
DNN19B5L,3001,Primary,53.12,1609.4,19.11
DNN20B3L,3001,Primary,40.53,1612.41,18.93
DNN23B1L,3001,Primary,48.86,1664.29,19.08
DNN24B3M,3001,Primary,63.56,1643.6,19.18
DNN25B3M,3001,Primary,39.16,1654.42,19.06
DNN26B4U,3001,Primary,59.12,1648.13,19.12
DNN31B4M,3001,Primary,34.79,1552.25,19.15
DNN32B7M,3001,Primary,30.68,1553.26,19.15
LSM03B2C,3001,Primary,182.96,1673.99,18.2
LSM04B2C,3001,Primary,184.39,1675.94,18.19
LSM05A2F,3001,Primary,11.15,1420.51,19.13
LSM06B2C,3001,Primary,183,1674.34,18.21
LSM07B2L,3001,Primary,134.76,1738.08,18.41
LSM08B2L,3001,Primary,135.24,1741.82,18.39
LSM10A2F,3001,Primary,8.91,1421.48,19.11
LSM13B2U,3001,Primary,179.13,1693.06,18.23
LSM14B5S,3001,Primary,186.19,1693.03,18.25
LSM15A8F,3001,Primary,6.83,1349.78,19.12
LSM27B1U,3001,Primary,160.16,1613.69,18.31
BYR40B6U,3001,Primary,121.52,1854.96,19.11
BYR41B7U,3001,Primary,136.97,1864.68,19.05
LSM28B3M,3001,Primary,162.46,1602.05,18.35
LSM29B8M,3001,Primary,157.89,1603.68,18.34
LSM30B7L,3001,Primary,133.89,1617,18.33
LSM31B1M,3001,Primary,95.87,1671.17,18.68
BYR64B3U,3001,Primary,129.45,1868.06,18.99
LSM32B3U,3001,Primary,103.66,1679.71,18.64
LSM33B7L,3001,Primary,115.14,1726.89,18.53
LSM34B2L,3001,Primary,106.5,1725.79,18.54
WRD03B7C,3001,Primary,168.85,1653.22,18.58
WRD04B1U,3001,Primary,172.16,1652.81,18.58
WRD05B2U,3001,Primary,171.8,1638.55,18.65
WRD06B1U,3001,Primary,172.05,1644.95,18.62
WRD17B7F,3001,Primary,166.82,1697.18,18.17
BYR96B3U,3001,Primary,140.45,1901.14,18.88
BYR97B2M,3001,Primary,136.53,1889.71,18.92
DNN04B2L,3001,Primary,51.91,1669.87,18.81
DNN10B3C,3001,Primary,202.61,1856.47,17.85
DNN11B6F,3001,Primary,22.33,1600.13,19.18
DNN12B1F,3001,Primary,22.63,1602.32,19.17
DNN13B1F,3001,Primary,23.27,1599.85,19.17
DNN14B7F,3001,Primary,20.94,1601.2,19.13
LSM09A2F,3001,Primary,12.06,1418.16,19.14
LSM11A2F,3001,Primary,11.19,1423.62,19.12
LSM12B2U,3001,Primary,54.82,1373.92,19.04
LSM35B3M,3001,Primary,49.15,1547.33,19.16
LSM36B3M,3001,Primary,50.35,1546.51,19.16
TDWLRF1,3001,Primary,60.51,1463.5,18.79
DNN34J4L,3001,Secondary,61.62,1464.8,18.81
BALL02VB,3002,Primary,41.11,1747.51,19.46
BLN04B3M,3002,Primary,49.88,1752.46,19.44
BLN06B5S,3002,Primary,37.72,1805.11,19.17
BLN01B2M,3002,Primary,61.1,1745.33,18.94
BLN02B4M,3002,Primary,35.04,1753.13,18.92
BLN03B2M,3002,Primary,25.93,1705.36,19.18
BWK08B7U,3002,Primary,23.71,1855.61,19.21
BYR51B7M,3002,Primary,64.13,1890.31,18.89
BYR53B1L,3002,Primary,19.66,1961.1,18.65
BYR63B5L,3002,Primary,49.53,1910.83,18.82
BYR72B2L,3002,Primary,43.78,1892.15,18.7
BYR74B2V,3002,Primary,114.53,1878.48,18.74
BYR78B2M,3002,Primary,101,1739.07,18.87
BYR80B2L,3002,Primary,96.98,1733.48,18.89
DNN21B4M,3002,Primary,89.21,1651.06,19.04
DNN22B4M,3002,Primary,63.24,1634.62,19.1
DNN27B7M,3002,Primary,79.16,1651.87,19.01
DNN28B7U,3002,Primary,101.84,1681.66,18.84
DNN29B3L,3002,Primary,76.57,1699.43,18.89
DNN30B8M,3002,Primary,45.73,1679.69,19
DNN33B8V,3002,Primary,162.46,1833.55,18.38
HNB33B5L,3002,Primary,170.18,1851.48,18.84
HNB38B5L,3002,Primary,159.37,1856.53,18.81
HNB44B2L,3002,Primary,149.57,2043.39,18.21
HNB45R3M,3002,Primary,172.69,1934.68,18.54
LSM20B8M,3002,Primary,48.76,1551.05,18.88
LSM21B4V,3002,Primary,49.91,1565.56,18.76
NMB07B6L,3002,Primary,226.15,1595.77,17.85
NMB08B1M,3002,Primary,237.02,1598.9,17.79
NMB10B3L,3002,Primary,222.4,1583.68,17.67
BYR73B6L,3002,Primary,43.85,1888.38,18.72
PTV02J8M,3002,Primary,45.91,1895.46,19.14
BUI18R5L,3002,Primary,119.41,1886.33,18.78
BRU42VBR,3002,Secondary,0.45,1817.51,19.46
NMB16B7L,3002,Secondary,139.05,1809.12,17.74
BYR75B2U,3002,Secondary,85.58,1804.35,19.22
NCT120-2,3002,Secondary,524.55,1703.8,17.9
DNN38B1L,3002,Secondary,92.87,1572.46,18.17
AFT05B5L,3003,Primary,389.3,1195.54,17.1
AFT07J3G,3003,Primary,297.3,1162.93,17.52
AFT08J3S,3003,Primary,429.41,1216.93,16.86
CUT01-3,3003,Primary,842.66,1279.16,13.61
CUT07-2,3003,Primary,758.97,1261.09,15.01
CUT16-3,3003,Primary,603.85,1234.01,15.59
CUT28-3,3003,Primary,412.14,1207.85,16.97
CUTOO003,3003,Primary,383.98,1236.26,16.91
HGR05J8M,3003,Primary,385.81,1234.28,16.8
LNK01B3L,3003,Primary,137.15,1253.31,18.38
LNK02B5F,3003,Primary,150.23,1277.68,18.35
MLI03J1L,3003,Primary,486,1148.47,16.33
MLI16J3M,3003,Primary,602.68,1175.7,16.06
MLI17J7M,3003,Primary,626.49,1233.79,15.76
NCA00016,3003,Primary,601.16,1419,15.74
NCA00017,3003,Primary,594.86,1391.33,15.91
NCMEB003,3003,Primary,426.65,1807.6,16.4
NCRIC006,3003,Primary,314.13,1207.17,17.07
NCRIC007,3003,Primary,566.48,1404.13,15.79
NCRIC008,3003,Primary,528.16,1418.73,15.74
NEF2015,3003,Primary,536.12,1263.61,16.39
NEF2034,3003,Primary,436.04,1147.53,16.3
NRAC222,3003,Primary,589.78,1187.9,16.26
NRAC705,3003,Primary,373.55,1183.3,17.17
NRAC708,3003,Primary,351.42,1196.8,16.96
NRAC723,3003,Primary,201.19,1136.96,17.93
NRAC728,3003,Primary,219.36,1428.25,17.65
NRAC730,3003,Primary,236.15,1137.66,18.06
NRAC731,3003,Primary,232.48,1182,17.12
UNE05068,3003,Primary,606.78,1309.54,16.13
WDN10J2L,3003,Primary,575.57,1216.11,15.59
WDN11J7S,3003,Primary,736.06,1314.67,15.04
WDN15J4L,3003,Primary,521.92,1114.35,16.49
AFT36J5S,3003,Primary,415.01,1200.62,16.88
MMM01B5U,3003,Primary,547.64,1385.58,16
TGB01B1U,3003,Primary,605.44,1406.73,15.84
TGB02B3U,3003,Primary,607.94,1438.3,15.61
TGB03B8U,3003,Primary,584.12,1435.09,15.63
CPE01J8S,3003,Primary,723.37,1258.11,15.83
LNK03B3L,3003,Primary,142.53,1357.42,17.97
AFT37B4C,3003,Primary,432.63,1196.9,16.87
AFT38B4L,3003,Primary,394.89,1186.16,16.96
AFT39B5S,3003,Primary,389.45,1182.06,17.01
AFT40B7S,3003,Primary,382.36,1174.95,17.09
AFT41B6,3003,Primary,418.08,1200.08,16.87
CPE18I7S,3003,Primary,639.33,1351.9,15.8
CPE19I8S,3003,Primary,644.72,1358.9,15.76
CPE20I4S,3003,Primary,660.86,1407.36,15.47
GRV01B7F,3003,Primary,245.57,1084.12,17.6
GRV04B2F,3003,Primary,253.92,1085.59,17.58
MLI18B7M,3003,Primary,639.04,1388.37,15.37
TGB22B5L,3003,Primary,482.08,1323.96,16.25
WDN22R25,3003,Primary,514.64,1138.09,16.37
BRC38B2U,3003,Primary,525.58,1398.06,16.96
BRC39B3S,3003,Primary,500.74,1404.06,16.97
BRC41B5S,3003,Primary,361.75,1349.62,17.54
MLI25B3S,3003,Primary,785.64,1395.69,14.57
NCT125-2,3003,Secondary,612.98,1310.35,17.1
NRAC903,3003,Secondary,456.42,1391.52,17.36
MLI24B5S,3003,Secondary,825.98,1358.98,14.92
BRU40CBR,3004,Primary,4.57,1805.93,19.47
EMP02ALB,3004,Primary,3.73,1651.46,19.25
TWE02CBD,3004,Primary,5.09,1729.88,19.74
TWE03CBD,3004,Primary,7.53,1730.93,19.74
TWE15LSR,3004,Primary,18.81,1710.23,19.62
TWE17ALB,3004,Primary,9.66,1708.81,19.63
TWEED24,3004,Primary,11.58,1916.65,19.02
TWEED37,3004,Primary,6,1845.11,19.24
BYR69A7F,3004,Primary,7.59,1752.91,19.48
BYR76A7F,3004,Primary,6.65,1820.82,19.37
BYR77A7F,3004,Primary,6.62,1826.99,19.34
CDG01D2L,3004,Primary,26.99,1818,19.43
MBH06A7F,3004,Primary,9.97,1749.03,19.5
TWD03A7F,3004,Primary,1.85,1748.55,19.47
TWD04A7F,3004,Primary,13.14,1735.66,19.58
TWH02A7F,3004,Primary,11.17,1750.86,19.53
BrokenHead37,3004,Primary,38.35,1801.23,19.43
BRU43VBR,3004,Secondary,4.23,1805.07,19.48
TWEED39,3004,Secondary,5,1745.26,19.66
BYR68A7F,3004,Secondary,7.76,1752.89,19.48
MBH18A7F,3004,Secondary,6.92,1764.94,19.34
TBHSTRF2,3004,Secondary,19.36,1789.47,19.51
TWEED54,3004,Secondary,10.76,1782.15,19.51
BRU17CBB,3005,Primary,16.04,1874.42,19.19
NRAC772,3005,Primary,0,1632.03,19.25
WAR11UN,3005,Primary,5.52,1562.83,19.18
AC16_29_4,3005,Primary,2.91,1573.94,19.21
MBH04A7F,3006,Primary,10.7,1748.56,19.5
MBH01A7F,3006,Primary,6.4,1750.69,19.48
MBH02A7F,3006,Primary,1,1750.13,19.49
MBH03A7F,3006,Primary,1,1749.82,19.49
MBH07A1F,3006,Primary,7.99,1749.57,19.49
MBH33A7F,3007,Primary,5.46,1757.44,19.18
LSM16A7V,3007,Primary,7.23,1349.13,19.12
SP_Plot_E,3007,Primary,31.33,1274.82,19
TTH03A6V,3007,Primary,23.02,1060.5,18.94
CSO13A7V,3007,Primary,25.68,1175.43,18.97
GRV05A7F,3007,Primary,105.39,1169.51,18.36
GRV06A7F,3007,Primary,111.01,1180.62,18.29
GRV07A7F,3007,Primary,104.39,1175.42,18.32
NCPP0182,3007,Secondary,103.56,1203.71,17.9
TLRFCBS1,3008,Primary,0,1809.36,19.46
TWE27VBT,3008,Primary,0,1775.3,19.57
TWE28CBD,3008,Primary,0,1710.17,19.86
NRAC201,3009,Primary,606.81,2269.85,15.82
BLM02B3M,3009,Primary,223.1,2000.17,17.17
BLM05B3B,3009,Primary,596.61,1883.9,16.93
BUI01B1V,3009,Primary,495.63,2181.32,16.19
BUI02B8V,3009,Primary,462.87,2208.73,16.09
HNB01R1L,3009,Primary,251.23,2156.98,17.62
HNB03B2F,3009,Primary,212.32,2295.51,17.25
HNB04B7F,3009,Primary,165.48,2223.96,17.48
HNB12B5F,3009,Primary,198.5,2056.62,17.73
HNB09B5F,3009,Primary,205.31,1961.47,18.01
HNB10B5F,3009,Primary,206.99,1994.29,17.92
HNB11B4F,3009,Primary,203.07,2067.29,17.69
HNB13B5L,3009,Primary,252.11,2108.86,17.77
HNB14B4F,3009,Primary,240.64,2037.03,17.94
HNB53B3L,3009,Primary,179.84,2378.05,16.92
HNB55R7M,3009,Primary,220.14,2256.04,17.85
MBH16B2F,3009,Primary,212.99,2002.96,18.29
NCT107-5,3009,Primary,110.33,1849.07,18.27
NCT103-2,3009,Secondary,396.98,2135.23,18.21
NRAC202,3009,Secondary,627.09,2196.36,16.17
NRAC205,3009,Secondary,385.19,2086.05,17.22
WAR41VBG,3010,Primary,27.41,1443.79,18.92
WAR42HSR,3010,Primary,31.11,1424.31,19.09
WRD13J1M,3010,Primary,15.55,1446.88,19.04
WRD10J2L,3010,Primary,12.99,1447.33,19.11
WRD11J1L,3010,Primary,17.4,1447.9,19.1
NCPP0016,3010,Primary,39.17,1414,19.12
WRD12J3M,3010,Secondary,33.62,1463.68,18.8
BIL05VBR,3011,Primary,169.02,2019.12,18.34
BRU05ALT,3011,Primary,18.35,1834.89,19.3
BUR04LSR,3011,Primary,59.28,1798.17,19.14
CHRMUR03,3011,Primary,317.05,2209.22,17.07
CHRMUR09,3011,Primary,213.64,2190.05,17.78
MUR05LSR,3011,Primary,154.74,2054.75,18.34
MUR17LSR,3011,Primary,49.5,2068.74,18.51
NCMOO003,3011,Primary,62.39,1892.91,18.93
NRAC249,3011,Primary,323.03,2351.04,17.71
NRAC250,3011,Primary,195.67,1876.13,18.76
NRAC251,3011,Primary,37.8,1827.03,19.31
NRAC252,3011,Primary,72.75,1814.69,19.37
NRAC740,3011,Primary,164.85,2345.09,17.13
TBHSTRF1,3011,Primary,18.75,1790.05,19.51
TBHSTRF3,3011,Primary,23.58,1789.75,19.5
TWE16LSR,3011,Primary,13.71,1709.88,19.61
BLM03B3L,3011,Primary,218.42,2021.51,17.29
BLM06B6L,3011,Primary,27.51,1841.1,19.16
BUI03B8M,3011,Primary,599.42,2259.92,15.84
BUI04B8M,3011,Primary,15.21,1787.71,19.01
BUI10D2M,3011,Primary,144.88,1896.85,18.82
BWK02D8F,3011,Primary,23.75,1871.25,19.19
BWK04D2L,3011,Primary,0,1796.28,19.5
BWK05D1L,3011,Primary,20.75,1789.55,19.51
BYR52B5M,3011,Primary,46.64,1858,19.07
DNN09B2L,3011,Primary,204.21,1869.83,17.84
HNB24R8M,3011,Primary,256.68,1845.66,17.7
MBH15A5F,3011,Primary,34.58,1607.41,18.83
MBH05D8V,3011,Primary,15.21,1787.71,19.01
MBH11D7U,3011,Primary,134.36,2015.1,18.59
MBH17D7M,3011,Primary,136.25,2020.83,18.56
MBH25D1M,3011,Primary,243.09,1850.33,18.36
MBH32A6V,3011,Primary,36.51,1762.46,18.52
BrokenHead25,3011,Primary,42.96,1820.21,19.35
BrokenHead26,3011,Primary,47.51,1821.39,19.34
BUI12M3M,3011,Primary,235.25,2018.64,18.56
BUI17R3M,3011,Primary,160.27,1970.9,18.6
BRC57B6U,3011,Primary,549.45,1963.45,16.75
BRC58B5S,3011,Primary,536.47,1961.29,16.75
BRC59B5S,3011,Primary,507.62,1958.33,16.77
MUR13LSR,3011,Secondary,4.42,1861.8,19.29
NCT107-2,3011,Secondary,119.48,1749.34,18.35
NCT65-2,3011,Secondary,230.21,2207.07,17.97
NRAC204,3011,Secondary,440.08,2105.84,16.76
NRAC254,3011,Secondary,58.03,1810.29,19.41
POT24ALF,3011,Secondary,48.08,1881.6,19.16
CDG02D1L,3011,Secondary,26.01,1808.26,19.46
BIL06VBR,3011,Secondary,112.9,1931.75,18.95
NCT98-1,3011,Secondary,115.81,1991.85,18.75
BrokenHead23,3011,Secondary,21.88,1814.59,19.39
BWK07A8V,3012,Primary,12.89,1857.13,19.2
ALB004B,3013,Primary,46.7,1252.45,16.82
ALB005B,3013,Primary,46.42,1375.29,16.5
ALB007B,3013,Primary,58.43,1446.08,16.33
ALB012B,3013,Primary,264.55,1700.11,15.56
ALB013LQ,3013,Primary,349.43,1703.54,15.57
AVN01T1M,3013,Primary,211.08,1443.79,15.56
AVN05T8M,3013,Primary,216.22,1455.21,15.47
BLL27T2G,3013,Primary,202.72,1442.75,15.63
BRY017LQ,3013,Primary,70.43,1425.41,16.42
BRY022B,3013,Primary,274.56,1461.95,15.69
BRY025LQ,3013,Primary,318.85,1769.4,14.56
BRY030B,3013,Primary,286.6,1770.29,14.59
GER004B,3013,Primary,78.64,1384.76,16.7
JMGUL18,3013,Primary,149.69,1035.86,14.14
KIA004B,3013,Primary,380.57,2010.91,13.81
KIA005B,3013,Primary,83.58,1653.66,16
KIA006B,3013,Primary,128.23,1556.03,16.22
KIA007B,3013,Primary,131.14,1739.4,15.78
KIA008B,3013,Primary,141.94,1767.37,15.72
KIA011B,3013,Primary,119.13,1692.84,15.86
KIA015B,3013,Primary,159.39,1466.07,16.42
KIA016B,3013,Primary,169.58,1421.23,16.52
KIA017B,3013,Primary,246.04,1800.75,15.61
KIA018B,3013,Primary,181.6,1718.37,15.84
KIA019B,3013,Primary,229.15,1782.26,15.68
KIA020B,3013,Primary,169.35,1578.27,16.23
KIA021B,3013,Primary,56.37,1512,16.55
KIA022B,3013,Primary,47.57,1433.67,16.49
KIA023B,3013,Primary,248.44,1661.73,16
KIA025B,3013,Primary,268.06,1913.79,15.19
KNG003LQ,3013,Primary,253.02,1685.24,15.91
KNG014LQ,3013,Primary,213.13,1506.76,15.77
KNG023LQ,3013,Primary,135.69,1494.3,15.77
KNG030B,3013,Primary,222.67,1662.03,15.69
MER4007A,3013,Primary,81.75,1430.02,16.56
OTF09N2M,3013,Primary,165.02,1462.35,15.66
RBR07S3V,3013,Primary,146.83,1292.56,16.15
RBR15T1M,3013,Primary,290.69,1533.92,15.23
SCCJB12,3013,Primary,185.66,1318.35,14.96
SCCJB37,3013,Primary,39.38,1184.88,15.89
STGS19,3013,Primary,217.88,1527.42,15.1
SZ23002,3013,Primary,306.71,1518.64,15.39
SZ23007,3013,Primary,368.59,1541.48,15.46
SZ23101,3013,Primary,50.96,1193.84,15.8
WINGE009,3013,Primary,228.86,1549.27,15.3
WLL23T8M,3013,Primary,300.54,1679.1,14.3
WLL43T2M,3013,Primary,127.96,1301.13,16.16
WLL47T3M,3013,Primary,222.65,1389.91,15.94
WLL87I3M,3013,Primary,320.4,1530.24,15.48
WLL89I2M,3013,Primary,302.48,1496.23,15.42
KIM06B3L,3013,Primary,84.55,1486.9,16.36
KNV03T7L,3013,Primary,184.82,1770.05,15.58
KNV04M1L,3013,Primary,122.66,1517.59,16.13
KNV06T8L,3013,Primary,136.31,1814.51,14.88
KNV07A7V,3013,Primary,134.66,1817.94,14.74
TEC22,3013,Primary,74.05,1252.66,16.44
FXGBRY05,3013,Primary,100.64,1366.07,16.74
KIM002,3013,Primary,35,1279.05,16.74
DROM016,3013,Secondary,118.05,1045.77,14.16
DROM050,3013,Secondary,208.62,1093.31,13.66
DROM051,3013,Secondary,157.32,1075.6,13.85
DROM052,3013,Secondary,134.79,1032.33,14.31
TWINH04,3014,Primary,551.48,791.32,14.64
TWINH17,3014,Primary,1051.87,930.95,12.22
TWINH18,3014,Primary,937.3,863.89,13.28
TWR13,3014,Primary,637.05,811.28,14.26
TWR14,3014,Primary,741.49,857.76,13.52
TWR15,3014,Primary,835.53,892.29,12.98
TWR22,3014,Primary,972.91,953.27,12.12
TWR23,3014,Primary,934.65,905.14,12.85
TWR24,3014,Primary,1012.1,913.57,12.81
TWR26,3014,Primary,823.78,856.24,13.53
TWR27,3014,Primary,814.75,850.97,13.61
TWR29,3014,Primary,651.65,824.27,14.04
TWR39,3014,Primary,885.48,917.51,12.64
TWR41,3014,Primary,881.52,866.48,13.36
TWR42,3014,Primary,947.53,947.45,12.24
TWR53B3M,3014,Primary,722.42,823.53,14.19
TWR10,3014,Secondary,1210.3,957.51,12.1
BALL81,3015,Primary,5.41,1606.16,19.23
BALL84,3015,Primary,2.66,1609.16,19.22
BALL83,3015,Primary,5.48,1605.61,19.23
BALL85,3015,Primary,13.35,1609.23,19.24
MUR07LSR,3016,Primary,41.6,1725.5,19.64
MUR08LSR,3016,Primary,55.25,1755.54,19.53
MUR09LSR,3016,Primary,27.61,1731.31,19.59
MUR10LSR,3016,Primary,50.47,1765.65,19.51
TWE05LSR,3016,Primary,30.47,1737.53,19.57
TWE06LSR,3016,Primary,68.49,1741.42,19.62
BWK01A1F,3016,Primary,4.52,1791.81,19.48
MUR01VBR,3016,Primary,175.09,1900.53,19.01
TWE21VBR,3016,Primary,50.61,1669.13,19.86
TWE24VBR,3016,Primary,41.97,1669.38,19.85
TWE32VBR,3016,Primary,5.18,1717.8,19.78
WNG03Q1F,3017,Primary,14.98,1155.64,17.35
WNG04Q3F,3017,Primary,15.59,1156.33,17.32
WNG05Q2F,3017,Primary,16.51,1151.86,17.34
TBIRF1,3017,Primary,9.97,1636.14,18.26
12066G8,3019,Primary,283.63,1413.82,16.53
15684G8,3019,Primary,416.95,1175.9,16.03
BAL22F5S,3019,Primary,101.39,1391.03,17.12
BCC02F7L,3019,Primary,245.5,1200.27,16.17
BYB04V7V,3019,Primary,90.36,1514.95,16.89
CCK01B5S,3019,Primary,524.63,1380.08,15.15
CCK02F5U,3019,Primary,548.17,1387.61,15.03
COL01X3V,3019,Primary,77.5,1230.04,16.53
COL02X3V,3019,Primary,134.26,1258.54,16.05
COL03X3V,3019,Primary,148.62,1283.56,15.91
CPE01J4L,3019,Primary,521.21,1234.67,15.91
CUYAB001,3019,Primary,727.93,1287.07,15.37
DRK01V5L,3019,Primary,385.59,1051.04,16.11
DRK04V1L,3019,Primary,490.68,1065.92,15.99
GTGIL003,3019,Primary,596.5,1117.82,15.22
GTGIR009,3019,Primary,354.53,1037.42,16.56
HGR03J2F,3019,Primary,157.09,1118.34,17.56
KNR01S2M,3019,Primary,444.55,1324.46,15
KRK01S2G,3019,Primary,272.65,1171.58,16.58
LNE07025,3019,Primary,317.91,1487.15,16
MCK054,3019,Primary,147.4,1628.61,16.74
NAM-010,3019,Primary,181.62,1555.97,17.03
NAM-014,3019,Primary,135.86,1446.47,17.63
NCWAS005,3019,Primary,421.9,1111.55,15.85
NDCHA067,3019,Primary,534.32,1152.9,14.7
NEF1000,3019,Primary,327.66,1192.49,15.79
NUBAG056,3019,Primary,348.17,1537.37,15.46
NWENG045,3019,Primary,263.02,1359.36,15.27
NWENG071,3019,Primary,525.93,1447.13,14.54
NWENG092,3019,Primary,242.92,1341.41,16.98
NWENG137,3019,Primary,441.8,1324.08,15.25
NY_AB33,3019,Primary,308.2,1070.76,16.46
NY_AB4A,3019,Primary,396.15,1025.85,15.1
NY_DB03,3019,Primary,438.66,1014.3,15.38
NY_DB14,3019,Primary,225.86,1012.64,16.82
NY_DB36,3019,Primary,601.86,1217.65,14.56
NY_DB46,3019,Primary,555.03,1243.72,13.98
PHWS2W07,3019,Primary,48.85,1560.22,18.01
PPK00021,3019,Primary,171.9,1382.63,17.06
PPK00054,3019,Primary,464.74,1132.43,15.24
STRTFS05,3019,Primary,214.75,1131.01,16.16
WCH02V7V,3019,Primary,62.86,1433.75,17.21
WLG13J3L,3019,Primary,96.49,1490.36,17.57
WLG22J4L,3019,Primary,329.32,1454.58,17.16
WLG23J4L,3019,Primary,337,1456.49,17.18
WTT01X7V,3019,Primary,93.74,1265.49,16.41
WTT02X1L,3019,Primary,87.7,1341.09,16.37
BAL28C5G,3019,Primary,67.64,1299.56,17.63
DRK05G2M,3019,Primary,278.66,1031.97,17.53
DRK07G3L,3019,Primary,209.69,1047.12,17.2
WRA07P2V,3019,Primary,138.46,1204.87,16.25
BAL17F1L,3019,Primary,144.62,1410.31,17.01
GLR15J6S,3019,Primary,390.83,1458.49,15.98
GLR16J2L,3019,Primary,442.65,1461.26,15.68
GLR17J7L,3019,Primary,418.28,1470.8,15.74
UNE05028,3019,Secondary,268.33,1077.48,16.56
FF_PP059,3019,Secondary,135.23,1714.87,17.52
RFG100,3019,Secondary,167.7,1285.79,16.31
YTF02J7M,3019,Secondary,375.95,1154.52,17.13
PPYAR001,3019,Secondary,93.27,1358.19,17.98
CUBEA003,3020,Primary,484.41,977.22,16.42
GF042,3020,Primary,532.46,885.93,14.36
WNPFF25,3020,Primary,520.96,991.32,14.99
KOR02J7F,3020,Primary,407.82,950.91,16.59
YRS17D7F,3020,Primary,100.33,1321.2,17.21
BOO00020,3020,Primary,801.7,2075.52,12.94
MSB009,3020,Primary,52.04,1512.07,18.05
NUKAN110,3020,Primary,129.3,1180.31,17.26
NWENG103,3020,Primary,125.82,1470.57,17.41
THC005,3020,Primary,97.27,1362.1,17.65
AL83L100,3021,Primary,28.93,1681.35,18.21
BGN11F2L,3021,Primary,50.39,1730.8,18.05
BGN19F4V,3021,Primary,45.57,1702.26,18.12
BGN22G2V,3021,Primary,72.02,1887,17.4
BGN24G0F,3021,Primary,97.08,1661.6,17.27
BGN25G1S,3021,Primary,97.62,1665.44,17.25
BKN02F3L,3021,Primary,262.61,1812.59,15.91
BOAMBW1,3021,Primary,59.21,1834.88,16.89
BYB02X2V,3021,Primary,96.22,1511.56,17.08
BYB03X8M,3021,Primary,87.36,1616.2,16.43
CFS01F3U,3021,Primary,199.03,1806.51,17.31
CPN02W4V,3021,Primary,76.81,1500.73,17.11
CURIC002,3021,Primary,433.45,1189.38,16.66
CUYAB004,3021,Primary,499.39,1212.42,15.77
DOR01,3021,Primary,100.02,1442.48,17.46
DRK02V2L,3021,Primary,452.3,1196.18,15.23
DRK03V0L,3021,Primary,459.47,1142.98,15.58
FF_PP073,3021,Primary,174.05,1814.35,17.24
GIO013,3021,Primary,160.11,1489.81,17.48
GIO015,3021,Primary,186.99,1532.64,16.32
LRN08W3V,3021,Primary,96.58,1558.52,16.84
LRN08X3F,3021,Primary,65.55,1546.47,16.94
LRN09W4V,3021,Primary,81.06,1537.85,16.94
LRN10X3V,3021,Primary,91.87,1519.17,17.03
LRN11X2V,3021,Primary,71.1,1552.33,16.86
MLE02F3L,3021,Primary,197.02,1647.36,16.52
MLE03F6L,3021,Primary,249.03,1670.68,17
MLE04F1L,3021,Primary,222.6,1676.6,16
MNE05F7F,3021,Primary,148.69,1701.38,17.1
MNE09F8F,3021,Primary,161.3,1703.26,17.34
MNE11F1S,3021,Primary,461.78,1729.28,15.72
MNE12F2S,3021,Primary,513.89,1774.71,15.19
MNE14F2S,3021,Primary,555.85,1757.91,15.41
MSB15C7F,3021,Primary,7.85,1569.56,18.18
NAM-011,3021,Primary,163.77,1576.47,17.1
NAM-024,3021,Primary,143.67,1574.62,17.34
NAM-034,3021,Primary,233.18,1535.2,16.05
NBC01D1G,3021,Primary,187.69,1298.23,15.85
NCEWI004,3021,Primary,616.46,1286.83,14.56
NEF1331,3021,Primary,406.94,1589.44,16.48
NUIRI017,3021,Primary,129.69,1614.27,17.4
NUMIS018,3021,Primary,164.01,1429.8,17.42
NUOAK137,3021,Primary,750.75,1726.28,13.7
NUORE105,3021,Primary,146.67,1699.29,17.15
NUORW052,3021,Primary,672.07,1869.85,14.41
NUWED104,3021,Primary,49.55,1548.96,18.11
NWENG060,3021,Primary,253.77,1617.9,15.91
NWENG062,3021,Primary,309.62,1595.58,15.8
NWENG072,3021,Primary,319.59,1483.85,16.14
NWENG073,3021,Primary,241.4,1475.32,16.58
NWENG074,3021,Primary,195.51,1408.23,16.07
NWENG100,3021,Primary,233.25,1525.13,16.22
PAW00052,3021,Primary,486.38,1785.9,14.99
PAWRLL04,3021,Primary,346.54,1490.12,16.2
PAWRUL02,3021,Primary,313.66,1436.99,16.48
PM83L102,3021,Primary,63.69,1748.39,18.02
PPK00020,3021,Primary,223.48,1408.98,16
THC006,3021,Primary,308.67,1636.83,15.69
WLG14J7L,3021,Primary,101.16,1472.45,17.79
