"RCP","group","variables","coef_value","daic","stderr"
"R9","R9_62","Diancaer",2.69817432812462,1596.57449407681,9.50427653797603
"R9","R9_140","Eucatere",2.69817432812462,932.407393476232,11.3042338340808
"R9","R9_100a","Dichrepe",2.69817432812462,1659.59501746538,19.3450137643467
"R9","R9_100a","Pratpurp",2.69817432812462,1139.32848940514,19.3450137643467
"R9","R9_11","Casslong",2.69817432812462,324.604185186401,18.0956034121528
"R9","R9_11","Eucamuel",2.69817432812462,942.46772719995,18.0956034121528
"R9","R9_120","Lomalong",2.69817432812462,831.536612821295,20.0752695270702
"R9","R9_15","Casucunc",2.69817432812462,459.322572806691,17.5553139359043
"R9","R9_15","Micrstip",2.69817432812462,1346.62269225683,17.5553139359043
"R9","R9_19","Backmyrt",2.69817432812462,1227.39060712282,10.9120594314883
"R9","R9_30","Geitcymo",2.69817432812462,893.918506882477,11.4446644835035
"R9","R9_68","Pterescu",2.69817432812462,1504.61597841216,18.6890588412912
"R9","R9_8","Beyelasi",2.69817432812462,177.074498053126,19.3450137643467
"R9","R9_8","Noteveno",2.69817432812462,912.119813407903,19.3450137643467
"R9","R9_85","Eucatere",2.69817432812462,932.407393476232,17.5553139359043
"R9","R9_98","Eucapunc",2.69817432812462,729.531980136238,18.6890588412912
"R9","R9_102","Pterescu",2.69817432812462,1504.61597841216,20.8950030023103
"R9","R9_140q","Breyoblo",2.69817432812462,1193.33730072027,51.1820955295827
"R9","R9_140q","Cypegrac",2.69817432812462,288.517700557469,51.1820955295827
"R9","R9_140q","Desmbrac",2.69817432812462,282.200139827408,51.1820955295827
"R9","R9_140q","Diancaer",2.69817432812462,1596.57449407681,51.1820955295827
"R9","R9_140q","Dichrepe",2.69817432812462,1659.59501746538,51.1820955295827
"R9","R9_140q","Eucatere",2.69817432812462,932.407393476232,51.1820955295827
"R9","R9_140q","Galileio",2.69817432812462,483.633251637829,51.1820955295827
"R9","R9_140q","Geitcymo",2.69817432812462,893.918506882477,51.1820955295827
"R9","R9_140q","Pellfalc",2.69817432812462,1549.01735453992,51.1820955295827
"R9","R9_140q","Rubuparv",2.69817432812462,1296.53005391655,51.1820955295827
"R9","R9_140q","Solacamp",2.69817432812462,-127.362649132062,51.1820955295827
"R9","R9_22a","Commcyan",2.69817432812462,696.124543640082,51.1820955295827
"R9","R9_22a","Echiovat",2.69817432812462,800.755045839939,51.1820955295827
"R9","R9_22a","Eucatere",2.69817432812462,932.407393476232,51.1820955295827
"R9","R9_22a","Glyctaba",2.69817432812462,542.658709607396,51.1820955295827
"R9","R9_22a","Micrstip",2.69817432812462,1346.62269225683,51.1820955295827
"R9","R9_22a","Plecparv",2.69817432812462,1156.23471182552,51.1820955295827
"R9","R9_22a","Pratpurp",2.69817432812462,1139.32848940514,51.1820955295827
"R9","R9_26","Melaeric",2.69817432812462,125.345810600046,32.3703994587607
"R9","R9_27a","Acaclons",2.69817432812462,-74.64413787085,51.1820955295827
"R9","R9_27a","Breyoblo",2.69817432812462,1193.33730072027,51.1820955295827
"R9","R9_27a","Cupaanac",2.69817432812462,438.187836357551,51.1820955295827
"R9","R9_27a","Eucacarn",2.69817432812462,690.421193499463,51.1820955295827
"R9","R9_27a","Eustlati",2.69817432812462,813.991971103123,51.1820955295827
"R9","R9_27a","Impecyli",2.69817432812462,2151.44604933234,51.1820955295827
"R9","R9_27a","Lomafili",2.69817432812462,538.695242588371,51.1820955295827
"R9","R9_27a","Pratpurp",2.69817432812462,1139.32848940514,51.1820955295827
"R9","R9_27a","Smilaust",2.69817432812462,1456.41316349848,51.1820955295827
"R9","R9_2b","Cypegrac",2.69817432812462,288.517700557469,22.889328967007
"R9","R9_2b","Dichrepe",2.69817432812462,1659.59501746538,22.889328967007
"R9","R9_2b","Oxalpere",2.69817432812462,402.462006489787,22.889328967007
"R9","R9_54b","Bankinte",2.69817432812462,740.892305807949,32.3703994587607
"R9","R9_76","Gahnclar",2.69817432812462,1235.14155251561,22.889328967007
"R9","R9_76","Melasqur",2.69817432812462,-155.730988195604,22.889328967007
"R9","R9_87","Backmyrt",2.69817432812462,1227.39060712282,22.889328967007
"R9","R9_87","Casucunc",2.69817432812462,459.322572806691,22.889328967007
"R9","R9_94e","Allolitt",2.69817432812462,284.883917389858,51.1820955295827
"R9","R9_94e","Dendking",2.69817432812462,-184.117796280286,51.1820955295827
"R9","R9_94e","Entostri",2.69817432812462,1250.81714448646,51.1820955295827
"R9","R9_94e","Poa.sieb",2.69817432812462,1425.79350766678,51.1820955295827
"R9","R9_98a","Allolitt",2.69817432812462,284.883917389858,51.1820955295827
"R9","R9_98a","Billscan",2.69817432812462,986.194099205404,51.1820955295827
"R9","R9_98a","Crassieb",2.69817432812462,66.1963224464866,51.1820955295827
"R9","R9_98a","Dicemicr",2.69817432812462,79.2197744267512,51.1820955295827
"R9","R9_98a","Eucablax",2.69817432812462,-20.4580902155328,51.1820955295827
"R9","R9_98a","Galigaud",2.69817432812462,-134.347508319783,51.1820955295827
"R9","R9_98a","Grevaren",2.69817432812462,-173.860122038872,51.1820955295827
"R9","R9_98a","Hibbempm",2.69817432812462,105.993151409933,51.1820955295827
"R9","R9_98a","Hydrgera",2.69817432812462,13.3662374532096,51.1820955295827
"R9","R9_98a","Lepilate",2.69817432812462,683.577266116436,51.1820955295827
"R9","R9_98a","Lepiurop",2.69817432812462,299.788841451744,51.1820955295827
"R9","R9_98a","Leptpoly",2.69817432812462,431.786727124167,51.1820955295827
"R9","R9_98a","Lissstri",2.69817432812462,-69.0494055268654,51.1820955295827
"R9","R9_98a","Logaalbi",2.69817432812462,-144.000640272427,51.1820955295827
"R9","R9_98a","Lomafili",2.69817432812462,538.695242588371,51.1820955295827
"R9","R9_98a","Lomalong",2.69817432812462,831.536612821295,51.1820955295827
"R9","R9_98a","Lomamulm",2.69817432812462,530.672538647852,51.1820955295827
"R9","R9_98a","Micrstip",2.69817432812462,1346.62269225683,51.1820955295827
"R9","R9_98a","Pandpanp",2.69817432812462,958.410600122127,51.1820955295827
"R9","R9_98a","Persline",2.69817432812462,1385.83845537809,51.1820955295827
"R9","R9_98a","Phylgunn",2.69817432812462,145.284425246998,51.1820955295827
"R9","R9_98a","Phylhirt",2.69817432812462,193.818614707361,51.1820955295827
"R9","R9_98a","Stacvimi",2.69817432812462,-187.388266705866,51.1820955295827
"R9","R9_98a","Stypglau",2.69817432812462,167.638083199726,51.1820955295827
"R9","R9_98a","Wahlstri",2.69817432812462,193.985095708818,51.1820955295827
"R9","R9_9a","Alecsubc",2.69817432812462,220.134189128353,51.1820955295827
"R9","R9_9a","Celaaust",2.69817432812462,75.5155832881497,51.1820955295827
"R9","R9_9a","Clemglyc",2.69817432812462,633.885801797207,51.1820955295827
"R9","R9_9a","Echiovat",2.69817432812462,800.755045839939,51.1820955295827
"R9","R9_9a","Ficucoro",2.69817432812462,302.052841708648,51.1820955295827
"R9","R9_9a","Gerasola",2.69817432812462,608.993926747102,51.1820955295827
"R9","R9_9a","Marsrost",2.69817432812462,740.451876450564,51.1820955295827
"R9","R9_9a","Meliazed",2.69817432812462,35.4650464913439,51.1820955295827
"R9","R9_9a","Melident",2.69817432812462,1374.54132593484,51.1820955295827
"R9","R9_9a","Micrstip",2.69817432812462,1346.62269225683,51.1820955295827
"R9","R9_9a","Oleavisc",2.69817432812462,394.138167048205,51.1820955295827
"R9","R9_9a","Opliimbe",2.69817432812462,935.411531942896,51.1820955295827
"R9","R9_9a","Pandpanp",2.69817432812462,958.410600122127,51.1820955295827
"R9","R9_9a","Pellfalc",2.69817432812462,1549.01735453992,51.1820955295827
"R9","R9_9a","Pittundu",2.69817432812462,1046.41577556275,51.1820955295827
"R9","R9_9a","Sigeorio",2.69817432812462,1008.82556263534,51.1820955295827
"R9","R9_9a","stepjapd",2.69817432812462,631.627540249847,51.1820955295827
"R9","R9_9c","Cisshypo",2.69817432812462,1058.19681749444,51.1820955295827
"R9","R9_9c","Opliimbe",2.69817432812462,935.411531942896,51.1820955295827
"R9","R9_9c","Pellfalc",2.69817432812462,1549.01735453992,51.1820955295827
"R9","R9_9c","Pittundu",2.69817432812462,1046.41577556275,51.1820955295827
"R9","R9_114","Pratpurp",2.69817432812462,1139.32848940514,15.7951375965888
"R9","R9_116a","Allotoru",2.69817432812462,2677.88009635582,41.7900060046205
"R9","R9_116a","Desmvari",2.69817432812462,1236.23260861279,41.7900060046205
"R9","R9_116a","Eucamico",2.69817432812462,1837.22902040345,41.7900060046205
"R9","R9_116a","Eucapilu",2.69817432812462,1414.15176066104,41.7900060046205
"R9","R9_116a","Impecyli",2.69817432812462,2151.44604933234,41.7900060046205
"R9","R9_116a","Plecarge",2.69817432812462,-226.24798219498,41.7900060046205
"R9","R9_130","Acaccogn",2.69817432812462,93.7594945653001,41.7900060046205
"R9","R9_130","Bursspin",2.69817432812462,619.931077091645,41.7900060046205
"R9","R9_130","Eucapani",2.69817432812462,634.913344690658,41.7900060046205
"R9","R9_130","Eucapunc",2.69817432812462,729.531980136238,41.7900060046205
"R9","R9_130","Geitcymo",2.69817432812462,893.918506882477,41.7900060046205
"R9","R9_130","Lepilate",2.69817432812462,683.577266116436,41.7900060046205
"R9","R9_130","Lomamyri",2.69817432812462,-6.21526429568905,41.7900060046205
"R9","R9_130","Notelong",2.69817432812462,963.792287499679,41.7900060046205
"R9","R9_130","Oleavisc",2.69817432812462,394.138167048205,41.7900060046205
"R9","R9_130","Pittundu",2.69817432812462,1046.41577556275,41.7900060046205
"R9","R9_130","Prosinca",2.69817432812462,-136.612391610932,41.7900060046205
"R9","R9_130","Rytilong",2.69817432812462,419.816988277502,41.7900060046205
"R9","R9_130","Sannplur",2.69817432812462,202.752976275408,41.7900060046205
"R9","R9_130","Stensali",2.69817432812462,70.0011583913533,41.7900060046205
"R9","R9_140p","Cymbrefr",2.69817432812462,869.470756170499,41.7900060046205
"R9","R9_140p","Eucaeuge",2.69817432812462,373.623666033667,41.7900060046205
"R9","R9_140p","Eucatere",2.69817432812462,932.407393476232,41.7900060046205
"R9","R9_140p","Pratpurp",2.69817432812462,1139.32848940514,41.7900060046205
"R9","R9_1a","Desmvari",2.69817432812462,1236.23260861279,41.7900060046205
"R9","R9_1a","Eucasali",2.69817432812462,940.019367374844,41.7900060046205
"R9","R9_1a","Geitcymo",2.69817432812462,893.918506882477,41.7900060046205
"R9","R9_1a","Hibbscan",2.69817432812462,1580.52559854303,41.7900060046205
"R9","R9_1a","Impecyli",2.69817432812462,2151.44604933234,41.7900060046205
"R9","R9_1a","Lomalong",2.69817432812462,831.536612821295,41.7900060046205
"R9","R9_1a","Pellfalc",2.69817432812462,1549.01735453992,41.7900060046205
"R9","R9_1a","Pterescu",2.69817432812462,1504.61597841216,41.7900060046205
"R9","R9_1a","Rubuparv",2.69817432812462,1296.53005391655,41.7900060046205
"R9","R9_2","Poa.sieb",2.69817432812462,1425.79350766678,12.2348609725286
"R9","R9_21a","Bankinte",2.69817432812462,740.892305807949,41.7900060046205
